class,latitude,longitude,elevation,ndvi,ndwi,slope,TWI,TPI,precip,soil,onlyDistanceWater,distToRoad
1,25.13457507,91.76501054,14,0.51987725,-0.31273213,2.2479863,20667.08908,-0.197530864,51.92634,4,30.833334,8.861917314
1,25.02261564,91.77907593,11,-0.19825059,0.3261873,2.9621232,15692.5874,1.345679012,51.36942,6,38.466667,599.9347557
1,25.13851975,91.72734744,13,0.25820374,-0.24320465,2.048186,22684.45467,-1.765432099,51.416935,4,281.66666,284.6209991
1,25.11015456,91.73184438,15,0.4780723,-0.3306676,3.584684,12952.78422,0.012345679,51.416935,4,480,119.6766136
1,25.15726459,91.83495096,13,0.55428123,-0.46434468,1.0245788,45355.02948,-0.197530864,49.728397,4,316.93332,38.3372202
1,25.00926603,91.71596273,9,0.28606537,-0.21443492,2.1176224,21962.62271,-1.839506173,49.474915,4,0.8666667,146.4512545
1,25.12934503,91.78724368,16,0.41352218,-0.24660051,1.8543341,25059.64973,3.518518519,51.92634,4,360.56668,693.6426854
1,25.08888485,91.853079,13,0.55528384,-0.38892373,2.2472878,20681.09911,1.063492063,50.221912,4,30.733334,887.5687609
1,25.12930253,91.84706251,11,0.5126621,-0.39424995,0,0,0.370967742,52.62562,4,60.933334,881.7618671
1,25.03052712,91.85083814,12,0.01366927,0.13266721,3.0679476,15149.33512,0.666666667,51.85888,6,510.96667,310.1866057
1,25.08058944,91.8149423,11,0.47516453,-0.3699152,3.7047918,12534.714,-0.481481481,51.454678,6,2.4666667,1118.026267
1,25.04700916,91.73303901,10,-0.19609898,0.37377515,0,0,0.481481481,49.474915,7,10.833333,197.4657909
1,25.01043295,91.73362268,9,0.4542506,-0.36053902,1.0233521,45462.72748,-2.24691358,49.474915,4,18.966667,340.5568283
1,25.11795089,91.8152743,12,0.40389046,-0.25511566,2.0478463,22691.94076,0.049382716,52.62562,4,100.53333,1544.704063
1,25.07785418,91.80937814,15,0.31286782,-0.1814029,3.4507658,13460.22707,3.024691358,51.454678,4,7.366667,1483.455976
1,25.12554844,91.82588767,11,0.5061597,-0.40506074,4.090724,11344.58894,-0.148148148,52.62562,4,18.733334,977.90638
1,25.00269328,91.73783621,12,-0.30265787,0.42920664,2.2459757,20707.43065,2.397260274,49.474915,4,59.333332,402.8509606
1,25.16402165,91.81100156,20,0.44769058,-0.36482787,4.7384925,9785.020306,0.444444444,49.728397,4,499.26666,217.3473487
